id,simplified,traditional,pinyin,jyutping,english,mandarin_rank,cantonese_rank,examples,hsk_level
137272370771123270,口,口,kǒu,hau2,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)",637,,[],1
1028145137069410854,块,塊,kuài,faai3,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc",483,,[],1
1039937686451415785,快,快,kuài,faai3,rapid; quick,153,,[],1
338286850937029338,来,來,lái,loi4,to come; (used as a substitute for a more specific verb),31,,[],1
1004659841269596516,来到,來到,lái dào,loi4 dou3,to arrive; to come,943,,[],1
339709290298944509,老,老,lǎo,lou5,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to ,266,,[],1
19845783769815142,老人,老人,lǎo rén,lou5 jan4,old man or woman; the elderly,2395,,[],1
330155018160944119,老师,老師,lǎo shī,lou5 si1,teacher,799,,[],1
745684261912649103,了,了,le,liu5,"(completed action marker); (modal particle indicating change of state, situation now)",3,,[],1
605614981197223910,累,累,lěi,leoi6,to accumulate; to involve or implicate (Taiwan pr. [lèi]),1197,,[],1
1022253399691483166,冷,冷,Lěng,laang5,surname Leng,1027,,[],1
890181384554056714,里,裏,lǐ,lei5,variant of 里,75,,[],1
58264401509568892,里边,裡邊,lǐ bian,leoi5 bin1,inside,10810,,[],1
768695849663606775,两,兩,liǎng,loeng5,two; both,81,,[],1
1012595485374124806,零,零,líng,ling4,zero; nought,3623,,[],1
276738771553334112,六,六,liù,luk6,six; 6,802,,[],1
403324247197685332,楼,樓,Lóu,lau4,surname Lou,765,,[],1
602433584771894560,楼上,樓上,lóu shàng,lau4 soeng6,upstairs; (Internet slang) previous poster in a forum thread,5267,,[],1
979374692744326931,楼下,樓下,lóu xià,lau4 haa6,downstairs,4135,,[],1
1002063955922953626,路,路,Lù,lou6,surname Lu,409,,[],1
752860899181832125,路口,路口,lù kǒu,lou6 hau2,crossing; intersection (of roads),6184,,[],1
263703601489886330,路上,路上,lù shang,lou6 soeng6,on the road; on a journey,1669,,[],1
1024877506926237676,妈,媽,mā,maa1,ma; mom,517,,[],1
563990851291565792,妈妈,媽媽,mā ma,maa1 maa1,mama; mommy,527,,[],1
784539238949943245,马路,馬路,mǎ lù,maa5 lou6,street; road,5119,,[],1
335422234430146628,马上,馬上,mǎ shàng,maa5 soeng6,at once; right away,847,,[],1
631803893753020162,吗,嗎,má,maa1,(coll.) what?,83,,[],1
823132274252687151,买,買,mǎi,maai5,to buy; to purchase,240,,[],1
696615057912045145,慢,慢,màn,maan6,slow,1770,,[],1
920358542777172568,忙,忙,máng,mong4,busy; hurriedly,859,,[],1
1113675552630248333,毛,毛,Máo,mou4,surname Mao,1319,,[],1
909934237309097665,没,沒,méi,mut6,(negative prefix for verbs) have not; not,63,,[],1
1006957177590225077,没关系,沒關係,méi guān xi,mut6 gwaan1 hai6,it doesn't matter,3541,,[],1
384829022337233864,没什么,沒什麼,méi shén me,mut6 sap6 mo1,nothing; it doesn't matter,1659,,[],1
245864014704866628,没事儿,沒事兒,méi shì r,mut6 si6 ngai4,to have spare time; free from work,11421,,[],1
638665754684897260,没有,沒有,méi yǒu,mut6 jau5,haven't; hasn't,46,,[],1
184517058310397303,妹,妹,mèi,mui6,younger sister,2496,,[],1
276487385208102199,妹妹,妹妹,mèi mei,mui6 mui6,younger sister; young woman,2093,,[],1
394977645095833675,门,門,Mén,mun4,surname Men,422,,[],1
88742294694596937,门口,門口,mén kǒu,mun4 hau2,doorway; gate,2762,,[],1
817424636983374997,门票,門票,mén piào,mun4 piu3,"ticket (for theater, cinema etc)",5140,,[],1
656530353181698020,们,們,men,mun4,"plural marker for pronouns, and nouns referring to individuals",457,,[],1
49789886663448890,米饭,米飯,mǐ fàn,mai5 faan6,(cooked) rice,10194,,[],1
2479040175728842,面包,麵包,miàn bāo,min6 baau1,bread,4138,,[],1
436716842887972769,面条儿,麵條兒,miàn tiáo r,min6 tiu4 ngai4,erhua variant of 面条; noodles,,,[],1
244528207478918435,名字,名字,míng zi,ming4 zi6,name (of a person or thing),829,,[],1
809279941417424771,明白,明白,míng bai,ming4 baak6,clear; obvious,676,,[],1
898491678136209531,明年,明年,míng nián,ming4 nin4,next year,2487,,[],1
826074231609671964,明天,明天,míng tiān,ming4 tin1,tomorrow,469,,[],1
524860430725713555,拿,㧱,ná,naa4,old variant of 拿,287,,[],1
925880903674641095,哪,哪,nǎ,naa5,how; which,547,,[],1
994875178986282121,哪儿,哪兒,nǎ r,naa5 jan4,where?; wherever; anywhere; somewhere,2534,,[],1
414310993410682005,哪里,哪裏,nǎ lǐ,naa5 lei5,where?; somewhere,750,,[],1
633722652297927909,哪些,哪些,nǎ xiē,naa5 se1,which ones?; who?,3741,,[],1
227155368419231598,那,那,Nā,naa5,surname Na,48,,[],1
542933589068334968,那边,那邊,nà bian,naa5 bin1,over there; yonder,2415,,[],1
402499648497015788,那儿,那兒,nà r,naa5 jan4,there,3421,,[],1
1126131840082405399,那里,那裏,nà li,naa5 lei5,there; that place,770,,[],1
243199337097669658,那些,那些,nà xiē,naa5 se1,those,326,,[],1
956062739048633243,奶,奶,nǎi,naai5,breast; milk,2758,,[],1
1145253774160497580,奶奶,奶奶,nǎi nai,naai5 naai5,(informal) grandma (paternal grandmother); (respectful) mistress of the house,2809,,[],1
366522033779979805,男,男,nán,naam4,"male; Baron, lowest of five orders of nobility 位",587,,[],1
